Ano;Mês;País;"Bloco Econômico";"UF do Município";"Codigo SH4";"Descrição SH4";"Codigo SH2";"Descrição SH2";"Codigo Seção";"Descrição Seção";"Valor FOB (US$)";"Quilograma Líquido"
2023;02;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";3206;"Outras matérias corantes; preparações indicadas na Nota 3 do presente capítulo, exceto das posições 3203, 3204 ou 3205; produtos inorgânicos dos tipos utilizados como luminóforos, mesmo de constituição química definida";32;"Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever";VI;"Produtos das indústrias químicas ou indústrias conexas";747910;366000
2023;01;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6102;"Casacos compridos, capas, anoraques, blusões e semelhantes, de malha, de uso feminino, exceto os artefactos da posição 6104";61;"Vestuário e seus acessórios, de malha";XI;"Matérias têxteis e suas obras";747174;90258
2023;01;Chile;"América do Sul";"Santa Catarina";2204;"Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009";22;"Bebidas, líquidos alcoólicos e vinagres";IV;"Produtos das indútrias alimentares; Bebidas, líquidos alcoólicos e vinagres; Tabaco e seus sucedâneos manufaturados";740765;149819
2023;02;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6110;"Camisolas e pulôveres, cardigans, coletes e artigos semelhantes, de malha";61;"Vestuário e seus acessórios, de malha";XI;"Matérias têxteis e suas obras";734083;79669
2023;07;Paraguai;"Mercado Comum do Sul - Mercosul";"Santa Catarina";3401;"Sabões; produtos e preparações orgânicos tensoactivos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo contendo sabão; produtos e preparações orgânicos tensoactivos para lavagem da pele, sob a forma de líquido ou de creme, acondi";34;"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp";VI;"Produtos das indústrias químicas ou indústrias conexas";728640;276530
2023;07;Paraguai;"América do Sul";"Santa Catarina";3401;"Sabões; produtos e preparações orgânicos tensoactivos utilizados como sabão, em barras, pães, pedaços ou figuras moldadas, mesmo contendo sabão; produtos e preparações orgânicos tensoactivos para lavagem da pele, sob a forma de líquido ou de creme, acondi";34;"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp";VI;"Produtos das indústrias químicas ou indústrias conexas";728640;276530
2023;05;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";4202;"Malas e maletas, incluídas as de toucador e as maletas e pastas para documentos e de estudantes, os estojos para óculos, binóculos, máquinas fotográficas e de filmar, instrumentos musicais, armas, e artefactos semelhantes; sacos de viagem, sacos isolantes";42;"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa";VIII;"Peles, couros, peles com pelo e obras destas matérias; Artigos de correeiro ou de seleiro; Artigos de viagem, bolsas e artefatos semelhantes; Obras de tripa";728121;159164
2023;06;Malásia;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";2915;"Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados";29;"Produtos químicos orgânicos";VI;"Produtos das indústrias químicas ou indústrias conexas";715651;385440
2023;06;Malásia;"Associação de Nações do Sudeste Asiático - ASEAN";"Santa Catarina";2915;"Ácidos monocarboxílicos acíclicos saturados e seus anidridos, halogenetos, peróxidos e peroxiácidos; seus derivados halogenados, sulfonados, nitrados ou nitrosados";29;"Produtos químicos orgânicos";VI;"Produtos das indústrias químicas ou indústrias conexas";715651;385440
2023;01;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";7318;"Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço";73;"Obras de ferro fundido, ferro ou aço";XV;"Metais comuns e suas obras";709202;286615
2023;08;"Estados Unidos";"América do Norte";"Santa Catarina";4811;"Papel, cartão, pasta (ouate) de celulose e mantas de fibras de celulose, revestidos, impregnados, recobertos, coloridos à superfície, decorados à superfície ou impressos, em rolos ou em folhas de forma quadrada ou rectangular, de qualquer formato ou dimen";48;"Papel e cartão; obras de pasta de celulose, de papel ou de cartão";X;"Pastas de madeira ou de outras matérias fibrosas celulósicas; Papel ou cartão para reciclar (desperdícios e aparas); Papel e suas obras";708970;88117
2023;01;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";4011;"Pneumáticos novos, de borracha";40;"Borracha e suas obras";VII;"Plásticos e suas obras; Borracha e suas obras";706379;290623
2023;04;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";4011;"Pneumáticos novos, de borracha";40;"Borracha e suas obras";VII;"Plásticos e suas obras; Borracha e suas obras";704031;293345
